               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.031778,            0.016586,           0.0011891,              0.9888,             0.97526,             0.99228,             0.73103,            0.018122,            0.012384,          0.00042677,            0.007855,            0.007855,            0.007855
                 132,            0.031289,            0.017014,           0.0013005,             0.99101,             0.97727,             0.99241,             0.76385,            0.016187,            0.011722,          0.00043316,           0.0078385,           0.0078385,           0.0078385
                 133,            0.031509,            0.015908,           0.0013301,             0.99075,             0.96631,             0.99256,             0.75049,            0.016668,            0.011811,          0.00046387,            0.007822,            0.007822,            0.007822
                 134,            0.031231,            0.016695,           0.0011316,             0.98634,             0.97546,              0.9934,             0.74874,            0.016793,            0.011833,          0.00043011,           0.0078055,           0.0078055,           0.0078055
                 135,            0.030825,            0.016865,            0.001401,             0.99015,             0.96754,             0.99145,             0.74536,            0.016828,            0.011784,           0.0004159,            0.007789,            0.007789,            0.007789
                 136,            0.030856,            0.016234,            0.001287,             0.98209,             0.97073,             0.99179,             0.76843,            0.016067,            0.011538,          0.00044231,           0.0077725,           0.0077725,           0.0077725
                 137,            0.031673,            0.016789,           0.0016486,             0.99197,             0.97425,             0.99161,             0.77224,            0.016005,             0.01154,          0.00042801,            0.007756,            0.007756,            0.007756
                 138,            0.031795,            0.016689,           0.0016478,             0.98778,             0.97607,             0.99286,             0.75069,            0.016538,            0.011962,          0.00043716,           0.0077395,           0.0077395,           0.0077395
                 139,            0.030408,            0.016243,           0.0015302,             0.98639,              0.9704,             0.98817,              0.7618,            0.016062,              0.0116,          0.00041962,            0.007723,            0.007723,            0.007723
                 140,            0.030993,            0.016624,           0.0015066,             0.98853,             0.97207,             0.99228,             0.71092,             0.01849,            0.012396,          0.00037403,           0.0077065,           0.0077065,           0.0077065
                 141,             0.03207,            0.016632,           0.0012486,             0.99152,             0.97751,             0.99327,             0.74288,            0.017185,            0.011921,          0.00034456,             0.00769,             0.00769,             0.00769
                 142,            0.029833,            0.016989,           0.0015164,             0.99083,             0.97683,               0.991,             0.76733,            0.016085,            0.011538,          0.00033989,           0.0076735,           0.0076735,           0.0076735
                 143,            0.030508,              0.0165,           0.0013233,             0.98922,             0.97423,             0.99126,             0.77377,            0.015549,            0.011436,          0.00033216,            0.007657,            0.007657,            0.007657
                 144,            0.029563,            0.016297,           0.0011849,             0.99323,               0.977,             0.99266,             0.76037,            0.016286,            0.011519,          0.00033884,           0.0076405,           0.0076405,           0.0076405
                 145,            0.031868,             0.01707,           0.0012002,             0.99104,             0.97431,             0.99243,             0.76828,            0.015591,            0.011349,          0.00034428,            0.007624,            0.007624,            0.007624
                 146,            0.031401,             0.01637,           0.0014791,             0.98815,             0.97449,             0.98846,             0.76638,            0.015739,            0.011442,          0.00040302,           0.0076075,           0.0076075,           0.0076075
                 147,            0.031332,            0.016816,           0.0015965,             0.99231,             0.97317,             0.99037,             0.76752,            0.015894,            0.011516,          0.00040655,            0.007591,            0.007591,            0.007591
                 148,             0.03182,            0.016916,           0.0010281,             0.98696,             0.97924,             0.99303,             0.75693,            0.016941,            0.011763,          0.00039063,           0.0075745,           0.0075745,           0.0075745
                 149,            0.031171,            0.016399,           0.0013819,             0.98607,             0.97735,             0.99309,             0.76786,            0.015886,            0.011416,          0.00037317,            0.007558,            0.007558,            0.007558
                 150,            0.031231,            0.016992,           0.0011274,             0.99107,             0.96895,             0.99244,             0.74369,            0.016774,            0.011732,          0.00036812,           0.0075415,           0.0075415,           0.0075415
                 151,             0.03037,            0.016393,           0.0013456,             0.99149,             0.97428,              0.9928,             0.77307,            0.015958,            0.011541,           0.0003994,            0.007525,            0.007525,            0.007525
                 152,            0.030856,             0.01581,           0.0014369,             0.98228,             0.97951,             0.99294,             0.78069,            0.015536,            0.011386,          0.00040283,           0.0075085,           0.0075085,           0.0075085
                 153,            0.030385,            0.016484,           0.0010584,             0.98614,             0.97628,             0.99344,             0.74899,            0.016773,            0.011914,          0.00036917,            0.007492,            0.007492,            0.007492
